Name,Description,Material
The Sheffield Sportcoat in Cocoa Linen,"Suiting doesn’t have to be stuffy, as The Sheffield Sportcoat—built with soft, breathable linen—makes abundantly clear. Despite its lighter weight and laid back look, this is an expertly tailored, meticulously constructed sportcoat that rivals four-figure alternatives in terms of both build quality and sheer style. We’ve finished The Sheffield off with real dark horn buttons, and added environmentally friendly Bemberg lining throughout for some extra comfort. Pair it with matching The Sheffield Trouser to complete the look. ","In the 19th century, linen became a popular alternative to heavier suiting materials like flannels and tweeds—especially in warmer climates. Beyond its breathability, linen offers impressive durability and color fastness (resistance to fading), so garments like The Sheffield Sportcoat look and feel great wear after wear, year after year. Though it’s true that linen suiting is most commonly spotted in the summer thanks to its lighter weight, this understated Cocoa colorway looks great year round. "
The Emerson Jacket in Navy Double Cloth,"Pack light; prepare for everything. It can be tough to strike a balance between those two maxims, but The Emerson makes it look easy. This mid-weight, low-profile jacket is the perfect all-rounder—we’ve trimmed the fat and stuck with the features that really matter, like rugged single-needle construction and an expertly tailored fit. A great man once said “it is not length of life, but depth of life,” so get out there and make it count.","This 9-oz 100% organic cotton has been garment dyed to achieve a rich, natural hue, and we’ve given it a wash to enhance its texture. Though The Emerson is unlined, Double Cloth is—as its name suggests—a dual-layered material that offers some extra heft and insulation. Corozo buttons and our signature zig-zag stitching add some unique character to this classic, comfortable jacket. "
The Emerson Jacket in Olive Double Cloth,"Pack light; prepare for everything. It can be tough to strike a balance between those two maxims, but The Emerson makes it look easy. This mid-weight, low-profile jacket is the perfect all-rounder—we’ve trimmed the fat and stuck with the features that really matter, like rugged single-needle construction and an expertly tailored fit. A great man once said “it is not length of life, but depth of life,” so get out there and make it count.","This 9-oz 100% organic cotton has been garment dyed to achieve a rich, natural hue, and we’ve given it a wash to enhance its texture. Though The Emerson is unlined, Double Cloth is—as its name suggests—a dual-layered material that offers some extra heft and insulation. Corozo buttons and our signature zig-zag stitching add some unique character to this classic, comfortable jacket. "
The HBT Jacket in Washed Navy,"Drawing inspiration from iconic military overshirts that first emerged in the early days of US involvement in the second World War, The HBT Jacket is a rugged, utility-focused overshirt that boasts some handsome herringbone texture and a tidy flat hem. The HBT strikes the ideal balance between substantial shirt and low-profile jacket, making it an ideal all-seasons layering piece. ","This 8.5-oz 100% organic cotton has some nice heft to it, and we've given it a wash for a soft, inviting texture. Speaking of texture, a striking herringbone weave—true to the pieces that inspired it—lends The HBT a ton of extra character. We've rounded the package out with some TS-branded tin donut hole buttons and two oversized chest pockets to store the necessities. "
The HBT Jacket in Washed Olive,"Drawing inspiration from iconic military overshirts that first emerged in the early days of US involvement in the second World War, The HBT Jacket is a rugged, utility-focused overshirt that boasts some handsome herringbone texture and a tidy flat hem. The HBT strikes the ideal balance between substantial shirt and low-profile jacket, making it an ideal all-seasons layering piece. ","This 8.5-oz 100% organic cotton has some nice heft to it, and we've given it a wash for a soft, inviting texture. Speaking of texture, a striking herringbone weave—true to the pieces that inspired it—lends The HBT a ton of extra character. We've rounded the package out with some TS-branded tin donut hole buttons and two oversized chest pockets to store the necessities. "
The Wyatt Jacket in Cognac Suede,"What do you get when you combine the undeniable elegance of suede with our signature penchant for rugged construction and timeless design? Easy: The Wyatt Jacket. Handsome, hard-wearing, and packed with handy features—including a wealth of pockets and bi-swing shoulders for extra mobility—The Wyatt may look like it's reserved for special occasions, but it's built for everyday wear. ","This 3-oz suede boasts some rich cognac coloring that's complemented by tonal corozo buttons on the cuffs, paired with interior pocket and antique brass zippers throughout. We've added some extra insulation with a soft cotton twill lining in the torso, plus smooth acetate in the sleeves for quick and easy wardrobe changes. "
The Little Yosemite Shirt in Deep Ocean,"Our signature Yosemite has been around for a whopping eight years! What better way to celebrate its longevity than with a little something for the next generation? In those eight years, we've grown, our families have grown, and we bet many of yours have too. Now you can grab a piece of TS history—our first ever kid's garment—for the little ones in your life. Built to the same specifications as the original, but considerably cuter. ","This sturdy 9-oz flannel chamois is incredibly soft to the touch, and because it's made using 100% organic cotton, it's environmental impact is equally gentle. Boasting all of the same features as the full-sized version, The Little Yosemite is a comfy, low-maintenance shirt that you can throw in the washing machine if and when playtime gets a little messy. "
The Little Yosemite Shirt in Tobacco,"Our signature Yosemite has been around for a whopping eight years! What better way to celebrate its longevity than with a little something for the next generation? In those eight years, we've grown, our families have grown, and we bet many of yours have too. Now you can grab a piece of TS history—our first ever kid's garment—for the little ones in your life. Built to the same specifications as the original, but considerably cuter. ","This sturdy 9-oz flannel chamois is incredibly soft to the touch, and because it's made using 100% organic cotton, it's environmental impact is equally gentle. Boasting all of the same features as the full-sized version, The Little Yosemite is a comfy, low-maintenance shirt that you can throw in the washing machine if and when playtime gets a little messy. "
The Little Yosemite Shirt in Oat Donegal,"Our signature Yosemite has been around for a whopping eight years! What better way to celebrate its longevity than with a little something for the next generation? In those eight years, we've grown, our families have grown, and we bet many of yours have too. Now you can grab a piece of TS history—our first ever kid's garment—for the little ones in your life. Built to the same specifications as the original, but considerably cuter. ","This sturdy 9-oz flannel chamois is incredibly soft to the touch, and because it's made using 100% organic cotton, it's environmental impact is equally gentle. Boasting all of the same features as the full-sized version, The Little Yosemite is a comfy, low-maintenance shirt that you can throw in the washing machine if and when playtime gets a little messy. "
The Work Apron in Cone Mills Reserve Selvage,"Long-time fans of the brand will know that this isn't our first apron (in fact, we've outfitted the staffs of a handful of SF mainstays over the years); that said, it may be our best yet. True to its name, The Work Apron is built right here in the USA to take on a full day plus overtime. Constructed with 13-oz deadstock Cone Mills selvage denim, it's a sturdy, sharp option for the kitchen, the studio, the workshop, and wherever else your nose meets the grindstone. ","We're paying tribute to the legendary Cone Mills with a collection of gear built from deadstock denim of the highest quality. This 100% cotton denim weighs in at 13 ounces—substantial and sturdy—and it'll break in and fade beautifully as you put it through its paces. We rounded the package out with antique brass hardware, several storage options (including a two-slot pen pocket), and 100% cotton webbing straps for a comfortable fit. "
The Boat Tote in Cone Mills Reserve Selvage,"We're huge supporters of the shift from disposable to reusable bags, but so many options out there are simply too delicate for our needs. Enter The Boat Tote, a roomy, rugged bag that can handle your groceries, your gear, and anything else you need to carry from point A to point B. We built it right here in the USA using sturdy 13-oz Cone Mills selvage denim (plus a 10-oz cotton duck liner and 100% cotton straps), so it won't buckle under the pressure of heavier loads. Plus, it'll fade beautifully, just like your favorite pair of blue jeans. ","We're paying tribute to the legendary Cone Mills with a collection of gear built from deadstock selvage denim of the highest quality. This 100% cotton denim weighs in at 13 ounces—substantial and sturdy—and it'll break in and fade beautifully as you put it through its paces. Featuring a rugged natural cotton duck liner, multiple pockets (including a handy exterior pocket with selvage detailing), and a reinforced bottom, this is the last tote bag you'll ever need. "
The Heavy Bag Tee in Vintage California,"Between the beaches, mountains, deserts, forests (not to mention the cities) we never run out of new places to explore here in California. Our latest Heavy Bag pays tribute to our home state—and reaffirms our commitment to preserving all the things that make it special. Let the world know you're part of the TS family with this awesome, vintage-inspired printed Heavy Bag Tee. ","Utilizing upcycled and recycled yarns—which are shredded and respun—and emitting only trace amounts of CO2, this is the first truly waterless fabric. Picture a gallon, and then multiply it by 1,200; that's how much water each one of these shirts saves. "
The Heavy Bag Tee in Retro Block Print,"The Heavy Bag Tee may be the product of some space-age ingenuity, but this iteration plays up its timeless charm with an awesome vintage-style print. Proudly bearing the TS name and mission statement alongside a cool, minimalist graphic, this tee is a celebration of our commitment to responsibly built gear that wears in and not out. ","Utilizing upcycled and recycled yarns—which are shredded and respun—and emitting only trace amounts of CO2, this is the first truly waterless fabric. Picture a gallon, and then multiply it by 1,200; that's how much water each one of these shirts saves. "
The Hope & Solidarity <br> Heavy Bag Tee in Heather Grey,"While much of the national conversation has (justifiably) shifted away from COVID-19, we wanted to do our part to make sure healthcare workers are still being supported, which is why 30% of the proceeds from our Hope and Solidarity Tee will go to Frontline Foods. This non-profit organization works with local restaurants to provide meals for healthcare workers to keep them fueled up for the ongoing fight against the virus. It's a great way to lend your support not only to the people on the frontlines of COVID, but also to the independent restaurants that give your community some of its local flavor. ","Utilizing upcycled and recycled yarns—which are shredded and respun—and emitting only trace amounts of CO2, this is the first truly waterless fabric. Featuring a custom front-and-back print developed by our very own Mikey Armenta and friend of the brand Ty Williams, this special edition Heavy Bag Tee says a lot with a little. Let's keep our heads up and support each other on through to the next chapter. "
The Hope & Solidarity <br> Heavy Bag Tee in Natural,"While much of the national conversation has (justifiably) shifted away from COVID-19, we wanted to do our part to make sure healthcare workers are still being supported, which is why 30% of the proceeds from our Hope and Solidarity Tee will go to Frontline Foods. This non-profit organization works with local restaurants to provide meals for healthcare workers to keep them fueled up for the ongoing fight against the virus. It's a great way to lend your support not only to the people on the frontlines of COVID, but also to the independent restaurants that give your community some of its local flavor. ","Utilizing upcycled and recycled yarns—which are shredded and respun—and emitting only trace amounts of CO2, this is the first truly waterless fabric. Featuring a custom front-and-back print developed by our very own Mikey Armenta and friend of the brand Ty Williams, this special edition Heavy Bag Tee says a lot with a little. Let's keep our heads up and support each other on through to the next chapter. "
The Wildland Heroes Firefighter Blanket in Golden State,"For generations, Pendleton has been renowned all over the world for their exquisite woolen bedclothes and garments, so we jumped at the chance to collaborate with them on our very first blanket. The Wildlife Heroes Firefighter Blanket pays tribute to the men and women who risk their lives every day to keep us safe, and a portion of the proceeds benefit The Wildlife Heroes Foundation, which provides support to injured firefighters and their families. Available in very limited quantities. ","This cozy blanket is woven with a blend of pure virgin wool and cotton that's been combed for a soft, substantial hand feel. Proudly made in the USA. "
The Scarf in Chocolate Baby Yak,"So you're all set with some woolen socks, a chunky sweater, and a nice cozy jacket; don't forget to complete the ensemble with our latest scarf! Available in three gorgeous colorways—Chocolate, Ochre, and Navy—this seasonal essential is built with ultra soft baby yak wool for a luxurious, cashmere-like texture. It makes for an awesome holiday gift, but don't neglect your own neck! ","We're going all-in on yak this season. On top of its absurdly soft texture (some say it's softer than cashmere), yak wool offers impressive durability and an exceptional warmth-to-weight ratio—handy features for accessories like this scarf that might end up tucked in a bag from time to time. What's more, yak wool is significantly easier on the environment than cashmere, so you can bundle up guilt-free. "
The Scarf in Ochre Baby Yak,"So you're all set with some woolen socks, a chunky sweater, and a nice cozy jacket; don't forget to complete the ensemble with our latest scarf! Available in three gorgeous colorways—Chocolate, Ochre, and Navy—this seasonal essential is built with ultra soft baby yak wool for a luxurious, cashmere-like texture. It makes for an awesome holiday gift, but don't neglect your own neck! ","We're going all-in on yak this season. On top of its absurdly soft texture (some say it's softer than cashmere), yak wool offers impressive durability and an exceptional warmth-to-weight ratio—handy features for accessories like this scarf that might end up tucked in a bag from time to time. What's more, yak wool is significantly easier on the environment than cashmere, so you can bundle up guilt-free. "
The Beanie in Chocolate Baby Yak,"Think all beanies are created equal? Our latest offering is here to change your mind. The TS take on this seasonal essential is constructed with 100% baby yak wool, which is exceptionally cozy and exquisitely soft. No matter which color you choose—Chocolate, Ochre, or Navy—you'll feel the difference right away. ","We're going all-in on yak this season. On top of its absurdly soft texture (some say it's softer than cashmere), yak wool offers impressive durability and an exceptional warmth-to-weight ratio—handy features for accessories like this beanie that might end up tucked in a bag from time to time. What's more, yak wool is significantly easier on the environment than cashmere, so you can bundle up guilt-free. "
The Scarf in Navy Baby Yak,"So you're all set with some woolen socks, a chunky sweater, and a nice cozy jacket; don't forget to complete the ensemble with our latest scarf! Available in three gorgeous colorways—Chocolate, Ochre, and Navy—this seasonal essential is built with ultra soft baby yak wool for a luxurious, cashmere-like texture. It makes for an awesome holiday gift, but don't neglect your own neck! ","We're going all-in on yak this season. On top of its absurdly soft texture (some say it's softer than cashmere), yak wool offers impressive durability and an exceptional warmth-to-weight ratio—handy features for accessories like this scarf that might end up tucked in a bag from time to time. What's more, yak wool is significantly easier on the environment than cashmere, so you can bundle up guilt-free. "
The Beanie in Ochre Baby Yak,"Think all beanies are created equal? Our latest offering is here to change your mind. The TS take on this seasonal essential is constructed with 100% baby yak wool, which is exceptionally cozy and exquisitely soft. No matter which color you choose—Chocolate, Ochre, or Navy—you'll feel the difference right away. ","We're going all-in on yak this season. On top of its absurdly soft texture (some say it's softer than cashmere), yak wool offers impressive durability and an exceptional warmth-to-weight ratio—handy features for accessories like this beanie that might end up tucked in a bag from time to time. What's more, yak wool is significantly easier on the environment than cashmere, so you can bundle up guilt-free. "
The Rugby Shirt in Navy Stripe,"No matter what form our Heavy Bag blend takes—a classic tee, a cozy henley, or this brand new Rugby Shirt—it stands tall as a rugged, Responsibly Built answer to flimsier alternatives. Whether you're gearing up for game day or just need a casual, comfortable collared shirt, The Rugby Shirt will serve with distinction for years to come. ","Believe it or not, building The Rugby Shirt by conventional methods would require about 1,200 gallons of water. Because we've opted for upcycled and recycled yarns—which we've shredded and respun—the Heavy Bag base of this garment is 100% waterless. And of course, for authenticity's sake, we've added some classic rubber buttons and an organic cotton collar and placket detailing."
The Beanie in Navy Baby Yak,"Think all beanies are created equal? Our latest offering is here to change your mind. The TS take on this seasonal essential is constructed with 100% baby yak wool, which is exceptionally cozy and exquisitely soft. No matter which color you choose—Chocolate, Ochre, or Navy—you'll feel the difference right away. ","We're going all-in on yak this season. On top of its absurdly soft texture (some say it's softer than cashmere), yak wool offers impressive durability and an exceptional warmth-to-weight ratio—handy features for accessories like this beanie that might end up tucked in a bag from time to time. What's more, yak wool is significantly easier on the environment than cashmere, so you can bundle up guilt-free. "
The Democratic All Day Pant in Rustic Oak Organic Selvage,"A wardrobe is only as strong as its foundations, so we built the perfect everyday pant: sturdy, comfortable, and timeless. Lesser gear comes and goes, but you can count on The All Day Pant for years to come. This exclusive Rustic Oak Organic Selvage colorway was developed in collaboration with the legendary team at Stetson.",This 8-oz organic cotton selvage twill has been garment-dyed for some rich coloring that'll fade beautifully with time. The All Day Pant features classic TS accents—including our signature leather co-branded patch on the waistband and hard-wearing YKK hardware.
The Democratic Jean in Organic Selvage 12-month Wash,"With so many denim options out there, what keeps the TS diehards coming back time after time? It's all about the fit, the construction, and the materials. Whether you prefer the Slim or the Democratic cut, our jeans are exceptionally comfortable and versatile—labor or leisure, they're ready for anything. Plus, like all of our products, they're Responsibly Built For The Long Haul, which means they'll outlast the competition without relying on wasteful practices, harmful chemicals, or questionable manufacturing methods. ","The cotton used in these jeans is 100% organic, which means it's significantly easier on the environment than the conventionally grown stuff. At 13-oz, this selvage denim has a sturdy, substantial hand feel, and we've softened it up with a wash for a lived-in texture right out of the box. We call it the 12-Month Wash because these jeans look like they have about a year under their belt, so you've got a head start on the break-in, but that's only the beginning—they'll continue to develop character and nuance with each wash and wear. "
The Slim Jean in Organic Selvage 12-month Wash,"With so many denim options out there, what keeps the TS diehards coming back time after time? It's all about the fit, the construction, and the materials. Whether you prefer the Slim or the Democratic cut, our jeans are exceptionally comfortable and versatile—labor or leisure, they're ready for anything. Plus, like all of our products, they're Responsibly Built For The Long Haul, which means they'll outlast the competition without relying on wasteful practices, harmful chemicals, or questionable manufacturing methods. ","The cotton used in these jeans is 100% organic, which means it's significantly easier on the environment than the conventionally grown stuff. At 13-oz, this selvage denim has a sturdy, substantial hand feel, and we've softened it up with a wash for a lived-in texture right out of the box. We call it the 12-Month Wash because these jeans look like they have about a year under their belt, so you've got a head start on the break-in, but that's only the beginning—they'll continue to develop character and nuance with each wash and wear. "
The Jack in Indigo Seersucker,"The coat of paint may be fresh—exceptionally fresh, in fact—but The Jack's nuts and bolts remain unchanged. Featuring a tailored fit, a straightforward design, and meticulous construction, this is the same stalwart that fans have been flocking to for years. Whether you're looking to add some extra texture to your wardrobe or just need a solid shirt for the office that doesn't induce yawns, you can always count on The Jack. ","This 5.5-oz 100% organic cotton has been washed for a soft, lived-in feel right out of the box. The real star of the show is the stunning Indigo Seersucker finish, which gives this iteration of The Jack some incredible visual and textural impact. Wear it often—it only gets better with age. "
The California in Indigo Plaid,"The California may look laid-back, but try one on for size and you'll discover a tailored cut and some remarkably meticulous construction ensuring that it's ready for work, play, and everything in between. This brand new Indigo Plaid iteration was developed in collaboration with the legendary team at Stetson, and in keeping with their reputation as the style standard bearers of the American West, it'll draw eyes (and compliments) wherever the road takes you. ","This iteration of our legendary California was made using 100% organic cotton, which means it's easier on the environment, it doesn't rely on harmful chemicals, and it's subject to strict quality control and labor oversight. At 5-oz, it's lightweight and soft, but it's plenty sturdy, and with time its indigo-dyed yarns will fade, imbuing The California with some one-of-a-kind character. "
The Ojai Jacket in Indigo Diamond Plate,"At this point, The Ojai has become as iconic as the classic work jackets that inspired it, and it's back today in an absolutely stunning Indigo Diamond Plate colorway. True to its workwear origins, The Ojai is rugged and function-focused—an array of useful pockets and bar-tacked stress points make it a great option for the workshop, the studio, or roughing it out in the field. That said, its gorgeous indigo coloring and striking ring-back buttons give it more than enough character to hold its own when the workday's over. ","This Indigo Diamond Plate finish is breathtakingly beautiful, and we've even given it a wash to further emphasize its incredible texture. We rounded out this decidedly old-school colorway with The Ojai's signature ringback buttons, and injected just a touch of stretch into this 9-oz cotton for a bit of extra flexibility and comfort. This piece is going to look unbelievable after it's spent some time out in the wild—we'll leave that part to you. "
The Bomber Jacket in Charcoal Jungle Cloth,"A well-built bomber belongs in every arsenal, and as luck would have it, we've got a brand new take on this indispensable style in the form of The Bomber Jacket in Charcoal Jungle Cloth. We've upgraded this beloved military-inspired silhouette with some rugged, Responsible materials and our characteristically meticulous construction, but make no mistake—The Bomber is about as classic as can be. ","A close cousin of Bedford Cord (which has made several appearances on our roster over the years), Jungle Cloth is a corduroy-like weave characterized by its density and impressive durability. Our Jungle Cloth is woven with 12-oz organic cotton, and we've accented it with antique nickel YKK hardware which looks especially sharp against the material's Charcoal coloring. We've rounded this classic package out with a protective storm flap and two cozy hand-warmer pockets. "
The Mechanic Shirt in Dark Olive Herringbone,"The Mechanic Shirt is what we imagine when we think of the perfect work shirt. It’s not something you have to second guess when you’re getting ready in the morning, and it’s built to survive a full day plus overtime. We’ve made some tweaks to the formula over the years—it's now made with 100% organic cotton, for example—but the central premise remains unchanged: when there’s a job to be done, grab The Mechanic. ","This mid-weight 100% organic cotton is soft and sturdy, and we've given it a wash to enhance its texture and give it a lived-in feel right out of the box. Speaking of texture, by now you've no doubt noticed the extraordinary herringbone weave that lends this iteration of The Mechanic its jaw-dropping visual impact. It looks incredible in the photos, but just wait until you have it in hand."
The Western Shirt in Washed Black Selvage Chambray,"Dust off your saddles—The Western Shirt is back in a sharp new Black Selvage Chambray finish. The vintage-inspired details that made it a legend remain just as awesome as ever, including its distinctive slanted chest pockets, genuine YKK snaps, and striking pointed yoke. Whether you're roughing it out in the field or exploring the urban sprawl, The Western is always ready to ride. ","This sturdy 7.5-oz selvage chambray is made with 100% organic cotton, so it's easy on the environment and doesn't rely on harmful chemicals to flourish. Because this iteration of The Western has been stone washed, it feels well-loved right out of the box."
The Western Shirt in Washed Selvage Chambray,"Dust off your saddles—The Western Shirt is back in a sharp new Washed Selvage Chambray finish. The vintage-inspired details that made it a legend remain just as awesome as ever, including its distinctive slanted chest pockets, genuine YKK snaps, and striking pointed yoke. Whether you're roughing it out in the field or exploring the urban sprawl, The Western is always ready to ride. ","This sturdy 7.5-oz selvage chambray is made with 100% organic cotton, so it's easy on the environment and doesn't rely on harmful chemicals to flourish. Because this iteration of The Western has been stone washed, it feels well-loved right out of the box. "
The Taylor Stitch x Gear Patrol Reversible Able Vest in Arid Camo,"When we teamed up with Gear Patrol to develop our latest Able Vest, versatility was our top priority. This fully reversible update on a classic, handsome silhouette is what you'll reach for when you're not quite sure what the day holds in store. Whether you opt for the ultra rugged Boss Duck side or the weather-resistant waxed canvas side will depend on the task at hand, but  one thing's for sure—you'll be ready for just about anything. ","We make a lot of our workwear with Boss Duck these days for good reason. This proprietary hemp-based blend is shockingly sturdy—seriously, we have yet to find its breaking point—and it's soft and comfy to boot. On the reverse side, we opted for a dry waxed canvas developed by the weatherproofing experts at Halley Stevensons. The custom Arid Camo finish looks amazing, and you'll be grateful to have it on hand next time you find yourself in a sudden downpour. Don't worry about any stickiness, either—this ""dry"" wax is soft and comfortable even against bare skin."
The Taylor Stitch x Gear Patrol Reversible Lombardi Jacket in Arid Camo,"Our Lombardi Jacket was built to serve as a reliable daily driver that can take a beating in stride, and this new iteration—developed in collaboration with the utility-obsessed team at Gear Patrol—kicks its natural versatility up a notch with fully reversible construction. When you need something indestructible, opt for the Boss Duck side; when the weather turns foul—or you're in the mood for some awesome camo—swap over the dry-waxed Arid Camo side. No matter how bumpy the road is, The Lombardi handles like a dream. ","We make a lot of our workwear with Boss Duck these days for good reason. This proprietary hemp-based blend is shockingly sturdy—seriously, we have yet to find its breaking point—and it's soft and comfy to boot. On the reverse side, we opted for a dry waxed canvas developed by the weatherproofing experts at Halley Stevensons. The custom Arid Camo finish looks amazing, and you'll be grateful to have it on hand next time you find yourself in a sudden downpour. Don't worry about any stickiness, either—this ""dry"" wax is soft and comfortable even against bare skin."
The Trench Boot in Butterscotch Weatherproof Suede,"A timeless silhouette built to exacting specifications. The Trench Boot was designed to hold its own no matter where the day takes you. Our newest edition includes a buttery soft sheepskin lining for out-of-the-box comfort—no break-in required. Refined, rugged, and resoleable, The Trench Boot will take just about everything life throws at you in stride. ","Responsibly-sourced 4-oz. weatherproof butterscotch suede, a Vibram® sole, a Goodyear Storm Welt, and 100% resoleable construction. It certainly isn't the easiest way to make boots, but as you've probably noticed, we're not interested in easy—we're interested in building gear for The Long Haul. If you've been in the market for a pair of boots that'll carry you from graduation to retirement without missing a step, look no further."
The Scout Boot in Espresso Grizzly,"You can't rush perfection, which is why we took our time when developing The Scout Boot. All that time in the proverbial oven paid off—our first ever moc toe boot lives up to the lofty reputation of its predecessors, offering up some timeless style and exceptional comfort in a rugged, resoleable package. Built by hand in León, Mexico—often called the shoemaking capital of the world—using best-in-class components (including our signature Espresso Grizzly leather and a rugged Vibram® sole), The Scout walks all over the competition. ","Don't let its supple texture and luxurious look fool you—Espresso Grizzly is a real workhorse leather. Burly, resilient, and totally waterproof, it'll stand up to even the harshest conditions without missing a beat. The Scout Boot is built with a plush natural pigskin lining and a leather/foam insole for a soft, snug fit right out of the box, and it features resoleable Goodyear welt construction (like any boot worth its salt should) and a Vibram® sole for extra durability and traction. "
The Moto Shirt in Blanket Stripe,"Blankets aren't exactly known for being badass, but that's about to change with The Moto Shirt in Blanket Stripe, a fresh take on a classic that's rolling out of the garage just in time for Moto Month. One of our most rugged, utilitarian shirting options, The Moto Shirt offers meticulous construction, no-nonsense design, and a sophisticated look that ensures it won't be relegated to a life on the workbench. Staying cozy never looked so cool. ","This 8-oz 100% organic cotton is soft and substantial, making The Moto ideal as either an overshirt or a cozy midlayer when conditions call for it. Built like a tank with double-needle chainstitch construction alongside lock-stitched buttons and buttonholes, The Moto is in its element on the back of a bike, out in the field, or putting in the hours in the workshop. Of course, thanks to its tailored fit and handsome striped finish, you'll be happy to have it around for nights out on the town, too. "
The Cash Shirt in Natural Sashiko,"We came up with The Cash Shirt as a response to the many shirting options out there that look good on paper but don't pass muster when the going gets tough. We've never needed many bells and whistles to get through a full day, and neither does The Cash Shirt—it's a straightforward, meticulously constructed piece of workwear with style to spare, and this Natural Sashiko iteration boasts some one-of-a-kind character to keep things interesting. If you're in the market for a new shirt you can depend on for years on end, The Cash will cover your bases and then some. ","This Sashiko-woven cotton is soft, beautifully textured, and 100% organic, and at 9-oz it's burly enough to take on the stresses of intense, everyday wear. Past Sashiko pieces have been dyed, but this natural finish really lets you appreciate the unique intricacies of the weave, and we've even enhanced its natural texture with a garment wash. Tying The Cash's classic styling together are some sharp cats eyes buttons, a single flap chest pocket, and our easygoing California collar.  "
The Band Collar Moto Jacket in Black Steerhide,"This streamlined take on The Moto Jacket is made by hand right here in San Francisco in collaboration with the legendary Golden Bear Sportswear—they've been the game for nearly a century, and their expertise is evident in every single stitch. Cut from 3.5-oz full-grain steerhide, fully lined and packed with road-ready features like a two-way YKK zipper and articulated shoulders, The Band Collar Moto is more than just a pretty face—it’s an heirloom-quality piece that’ll look great on or off a bike for decades to come.","Barring the redesigned band collar—which includes a hidden snap tab—this iteration of The Moto Jacket stays true to the legacy of its predecessors with peerless, hand-crafted construction and world-class materials. Our full-grain, drum-dyed 3.5-oz steerhide is hardy, but it'll soften and patina with each wear, developing more than enough character to inspire the envy of any would-be Brandos, Fondas, or Deans out there. Try one on and you'll swear you can feel the wind rushing past, the unyielding rumble of an engine, and the thrill of an open, endless road stretching out before you. "
The Band Collar Moto Jacket in Espresso Steerhide,"This streamlined take on The Moto Jacket is made by hand right here in San Francisco in collaboration with the legendary Golden Bear Sportswear—they've been the game for nearly a century, and their expertise is evident in every single stitch. Cut from 3.5-oz full-grain steerhide, fully lined and packed with road-ready features like a two-way YKK zipper and articulated shoulders, The Band Collar Moto is more than just a pretty face—it’s an heirloom-quality piece that’ll look great on or off a bike for decades to come.","Barring the redesigned band collar—which includes a hidden snap tab—this iteration of The Moto Jacket stays true to the legacy of its predecessors with peerless, hand-crafted construction and world-class materials. Our full-grain, drum-dyed 3.5-oz steerhide is hardy, but it'll soften and patina with each wear, developing more than enough character to inspire the envy of any would-be Brandos, Fondas, or Deans out there. Try one on and you'll swear you can feel the wind rushing past, the unyielding rumble of an engine, and the thrill of an open, endless road stretching out before you. "
The Band Collar Moto Jacket in Whiskey Steerhide,"This streamlined take on The Moto Jacket is made by hand right here in San Francisco in collaboration with the legendary Golden Bear Sportswear—they've been the game for nearly a century, and their expertise is evident in every single stitch. Cut from 3.5-oz full-grain steerhide, fully lined and packed with road-ready features like a two-way YKK zipper and articulated shoulders, The Band Collar Moto is more than just a pretty face—it’s an heirloom-quality piece that’ll look great on or off a bike for decades to come.","Barring the redesigned band collar—which includes a hidden snap tab—this iteration of The Moto Jacket stays true to the legacy of its predecessors with peerless, hand-crafted construction and world-class materials. Our full-grain, drum-dyed 3.5-oz steerhide is hardy, but it'll soften and patina with each wear, developing more than enough character to inspire the envy of any would-be Brandos, Fondas, or Deans out there. Try one on and you'll swear you can feel the wind rushing past, the unyielding rumble of an engine, and the thrill of an open, endless road stretching out before you. "
The Jack in Brushed Navy Gingham,"Gingham is far too cool to be relegated to sunny summer days, and we've got a brand new iteration of The Jack on deck to prove it. This classic Navy colorway is understated—but by no means boring—so you can dress it up or down and add some extra nuance to your favorite seasonal fits. We've even brushed it for softness, so layer away and keep the cold at bay. ","The 5.5-oz cotton has been heavily brushed inside and out for a soft, cozy texture, so this iteration of The Jack is perfect for layering under outerwear when temperatures drop. "
The Maritime Shirt Jacket in Ash Donegal,"When lightweight layers just won't cut it, we've got you covered with a fresh new iteration of The Maritime Shirt. We always keep a selection of cozy gear on offer, but The Maritime continues to be a cornerstone of our lineup thanks to its classic good looks and versatile design. This boiled wool version is one of the burliest to date, so if you can only grab one overshirt this season, make it The Maritime. ","Built to last through not only the end of this year, but for many cold fronts to come, The Maritime Shirt Jacket features a tailored cut, roomy flap chest pockets, and some awesome cats eyes buttons. This 19-oz Italian boiled lambswool blend is hefty and exceptionally cozy, and it's got some incredible donegal texture to boot. "
The Bomber Jacket in Field Tan Wax Canvas,"The Bomber Jacket transcended its military origins—and persisted through more than half a century's worth of evolving trends and tastes—to become a permanent fixture on the style landscape. Along with some help with our buddies at Halley Stevensons, who lent their weatherproofing prowess to the project, we're pleased to present a fresh take on this timeless silhouette. Pro tip: this Field Tan finish looks especially awesome when paired with a well-loved pair of denim jeans and some classic leather boots.","Fans of our past collaborations with Halley Stevensons know what to expect here: a unique and highly functional weatherproofed garment that'll keep you dry, cozy, and looking sharp no matter the forecast. This custom-developed 5.5-oz dry waxed organic cotton is bulked up with a 5-oz organic cotton body lining for extra protection from the cold, and we rounded the package out with some rugged YKK hardware and a protective storm flap. "
